"playlist_name","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","track.name","track.popularity","year"
"Pop",0.879,0.538,-6.144,0.112,0.0323,8.6e-06,0.046,0.896,"Miami",62,1997
"Pop",0.848,0.838,-11.949,0.0723,0.0326,4.63e-06,0.124,0.774,"O.P.P",62,1991
"Pop",0.6,0.706,-7.899,0.218,0.209,0,0.125,0.58,"I Got 5 On It",73,1995
"Pop",0.613,0.559,-14.127,0.0268,0.0992,0.0205,0.314,0.772,"(I'll Never Be) Maria Magdalena - Single Verison",63,1987
"Pop",0.636,0.913,-8.838,0.0311,0.00257,0.106,0.194,0.698,"In The Heat Of The Night",55,1992
"Pop",0.61,0.842,-8.628,0.0512,0.00753,0.489,0.106,0.967,"Heaven Can Wait - Remastered 1992",40,1992
"Pop",0.643,0.618,-7.139,0.0287,0.000203,0.000132,0.0902,0.802,"Mindcontrol",40,2018
"Pop",0.607,0.802,-7.345,0.0488,0.000645,0.000206,0.242,0.636,"Any Way The Wind Blows",44,2019
"Pop",0.67,0.69,-7.153,0.0287,0.00625,0.189,0.112,0.674,"Mean Old World",25,2019
"Pop",0.652,0.728,-5.383,0.0402,0.0577,0,0.0524,0.87,"Don't You Wish It Was True",21,2019
"Pop",0.669,0.948,-4.948,0.0622,0.117,0.00255,0.0728,0.9,"Nothing's Gonna Stop Me Now",41,1987
"Pop",0.703,0.838,-11.782,0.0638,0.00613,0.0129,0.137,0.767,"Showing Out (Get Fresh At the Weekend) - 7"" Version",42,1987
"Pop",0.663,0.787,-10.812,0.04,0.378,0.00208,0.0335,0.795,"Imagination",44,1988
"Pop",0.757,0.678,-5.529,0.218,0.0472,9.14e-06,0.0654,0.82,"Ain't Your Mama",72,2016
"Pop",0.792,0.856,-5.236,0.067,0.0159,2.88e-06,0.0981,0.714,"Dance Again",66,2012
"Pop",0.759,0.699,-5.745,0.0307,0.202,0.000131,0.394,0.907,"...Baby One More Time",77,1999
"Pop",0.724,0.695,-5.226,0.0622,0.073,0,0.0889,0.235,"Womanizer",76,2008
"Pop",0.629,0.824,-6.53,0.159,0.155,0.000628,0.0651,0.852,"Work Bitch",71,2013
"Pop",0.745,0.742,-5.693,0.0259,0.42,0,0.102,0.806,"Sometimes",68,1999
"Pop",0.875,0.631,-3.475,0.099,0.00542,2.54e-06,0.127,0.549,"Don't Cha",72,2005
"Pop",0.938,0.735,-6.382,0.0434,0.00952,0,0.0998,0.55,"Beep",57,2005
"Pop",0.736,0.868,-3.01,0.0454,0.166,1.48e-06,0.0419,0.613,"Con Calma - Remix",68,2019
"Pop",0.745,0.693,-5.479,0.034,0.339,0,0.123,0.248,"365",71,2019
"Pop",0.838,0.705,-5.201,0.0449,0.0184,1.82e-05,0.102,0.583,"Swish Swish",69,2017
"Pop",0.858,0.678,-3.87,0.0469,0.0761,0,0.0741,0.922,"Love You Like A Love Song",76,2011
"Pop",0.606,0.902,-5.41,0.0514,0.0188,0,0.0534,0.876,"Naturally",48,2010
